#國字	Unicode
氦	6C26
氤	6C24
氫	6C2B
氮	6C2E
氯	6C2F
氳	6C33
水	6C34
永	6C38
汁	6C41
汀	6C40
氾	6C3E
求	6C42
汝	6C5D
汗	6C57
汙	6C59
江	6C5F
池	6C60
汐	6C50
汕	6C55
汞	6C5E
沙	6C99
沁	6C81
沈	6C88
沉	6C89
沅	6C85
沛	6C9B
汪	6C6A
決	6C7A
沐	6C90
汰	6C70
沌	6C8C
汨	6C68
沖	6C96
沒	6C92
汽	6C7D
沃	6C83
汲	6C72
汾	6C7E
泣	6CE3
注	6CE8
泳	6CF3
沱	6CB1
泌	6CCC
泥	6CE5
河	6CB3
沽	6CBD
沾	6CBE
沼	6CBC
波	6CE2
沫	6CAB
法	6CD5
泓	6CD3
沸	6CB8
泄	6CC4
油	6CB9
況	6CC1
沮	6CAE
泗	6CD7
泅	6CC5
泱	6CF1
沿	6CBF
治	6CBB
泡	6CE1
泛	6CDB
泊	6CCA
泉	6CC9
泰	6CF0
洋	6D0B
洲	6D32
洪	6D2A
流	6D41
津	6D25
洌	6D0C
洱	6D31
洞	6D1E
洗	6D17
活	6D3B
洽	6D3D
派	6D3E
洶	6D36
洛	6D1B
浪	6D6A
涕	6D95
消	6D88
涇	6D87
浦	6D66
浸	6D78
海	6D77
浙	6D59
涓	6D93
浬	6D6C
涉	6D89
浮	6D6E
浚	6D5A
浴	6D74
浩	6D69
涎	6D8E
涼	6DBC
淳	6DF3
淙	6DD9
液	6DB2
淡	6DE1
淌	6DCC
淤	6DE4
添	6DFB
淺	6DFA
清	6E05
淇	6DC7
淋	6DCB
涯	6DAF
淑	6DD1
涮	6DAE
淞	6DDE
淹	6DF9
涸	6DB8
混	6DF7
淵	6DF5
淅	6DC5
淒	6DD2
渚	6E1A
涵	6DB5
淚	6DDA
淫	6DEB
淘	6DD8
淪	6DEA
深	6DF1
淮	6DEE
淨	6DE8
淆	6DC6
淄	6DC4
港	6E2F
游	6E38
湔	6E54
渡	6E21
渲	6E32
湧	6E67
湊	6E4A
渠	6E20
渥	6E25
渣	6E23
減	6E1B
湛	6E5B
湘	6E58
渤	6E24
湖	6E56
湮	6E6E
渭	6E2D
渦	6E26
湯	6E6F
渴	6E34
湍	6E4D
渺	6E3A
測	6E2C
湃	6E43
渝	6E1D
渾	6E3E
滋	6ECB
溉	6E89
渙	6E19
溢	6EA2
溯	6EAF
滓	6ED3
溶	6EB6
滂	6EC2
源	6E90
溝	6E9D
滇	6EC7
滅	6EC5
溥	6EA5
溘	6E98
溼	6EBC
溺	6EBA
溫	6EAB
滑	6ED1
準	6E96
溜	6E9C
滄	6EC4
滔	6ED4
溪	6EAA
漳	6F33
演	6F14
滾	6EFE
漓	6F13
滴	6EF4
漩	6F29
漾	6F3E
漠	6F20
漬	6F2C
漏	6F0F
漂	6F02
漢	6F22
滿	6EFF
滯	6EEF
漆	6F06
漱	6F31
漸	6F38
漲	6F32
漣	6F23
漕	6F15
漫	6F2B
漯	6F2F
澈	6F88
漪	6F2A
滬	6EEC
漁	6F01
滲	6EF2
滌	6ECC
漿	6F3F
潼	6F7C
澄	6F84
潑	6F51
潦	6F66
潔	6F54
澆	6F86
潭	6F6D
潛	6F5B
潸	6F78
潮	6F6E
澎	6F8E
潺	6F7A
潰	6F70
潤	6F64
澗	6F97
潘	6F58
濂	6FC2
澱	6FB1
澡	6FA1
濃	6FC3
澤	6FA4
濁	6FC1
澧	6FA7
澳	6FB3
激	6FC0
澹	6FB9
濘	6FD8
濱	6FF1
濟	6FDF
濠	6FE0
濛	6FDB
濤	6FE4
濫	6FEB
濯	6FEF
澀	6F80
濬	6FEC
濡	6FE1
瀉	7009
瀋	700B
濾	6FFE
瀆	7006
濺	6FFA
瀑	7011
瀏	700F
瀛	701B
瀟	701F
瀨	7028
瀚	701A
瀝	701D
瀕	7015
瀾	703E
瀰	7030
灌	704C
灑	7051
灘	7058
灣	7063
灤	7064
火	706B
灰	7070
灶	7076
灼	707C
災	707D
灸	7078
炕	7095
炎	708E
炒	7092
炊	708A
炙	7099
炫	70AB
為	70BA
炳	70B3
炬	70AC
炯	70AF
炭	70AD
炸	70B8
炮	70AE
烊	70CA
烘	70D8
烤	70E4
烙	70D9
烈	70C8
烏	70CF
烹	70F9
焉	7109
焊	710A
烽	70FD
焙	7119
焚	711A
焦	7126
焰	7130
無	7121
然	7136
煮	716E
煎	714E
煙	7159
煩	7169
煤	7164
煉	7149
照	7167
煜	715C
煬	716C
煦	7166
煌	714C
煥	7165
煞	715E
熔	7194
熙	7199
煽	717D
熊	718A
熄	7184
熟	719F
熬	71AC
熱	71B1
熨	71A8
熾	71BE
燉	71C9
燐	71D0
燒	71D2
燈	71C8
燕	71D5
熹	71B9
燎	71CE
燙	71D9
燜	71DC
燃	71C3
燄	71C4
燧	71E7
營	71DF
燮	71EE
燦	71E6
燥	71E5
燭	71ED
燬	71EC
燴	71F4
燻	71FB
爆	7206
爍	720D
爐	7210
爛	721B
爨	7228
爪	722A
爬	722C
爭	722D
爰	7230
爵	7235
父	7236
爸	7238
爹	7239
爺	723A
爻	723B
爽	723D
爾	723E
牆	7246
片	7247
版	7248
牌	724C
牒	7252
牖	7256
牘	7258
牙	7259
牛	725B
牟	725F
牝	725D
牢	7262
牡	7261
牠	7260
牧	7267
物	7269
牲	7272
牯	726F
牴	7274
特	7279
牽	727D
犁	7281
犄	7284
犀	7280
犒	7292
犖	7296
犛	729B
犢	72A2
犧	72A7
犬	72AC
犯	72AF
狄	72C4
狂	72C2
狀	72C0
狎	72CE
狙	72D9
狗	72D7
狐	72D0
狩	72E9
狠	72E0
狡	72E1
狼	72FC
狹	72F9
狽	72FD
狸	72F8
狷	72F7
猜	731C
猛	731B
猖	7316
猓	7313
猙	7319
猶	7336
猥	7325
猴	7334
猩	7329
猷	7337
獅	7345
猿	733F
猾	733E
獄	7344
獐	7350
獎	734E
獗	7357
獨	7368
獰	7370
獲	7372
獷	7377
獵	7375
獸	7378
獺	737A
獻	737B
玀	7380
玄	7384
率	7387
王	738B
玉	7389
玖	7396
玩	73A9
玨	73A8
玟	739F
玫	73AB
玷	73B7
珊	73CA
玻	73BB
玲	73B2
珍	73CD
珀	73C0
玳	73B3
班	73ED
琉	7409
珮	73EE
珠	73E0
琅	7405
琊	740A
球	7403
理	7406
現	73FE
琍	740D
琺	743A
琪	742A
琳	7433
琢	7422
琥	7425
琵	7435
琶	7436
琴	7434
瑯	746F
瑚	745A
瑕	7455
瑟	745F
瑞	745E
瑁	7441
琿	743F
瑙	7459
瑛	745B
瑜	745C
瑤	7464
瑣	7463
瑪	746A
瑰	7470
瑩	7469
璋	748B
璃	7483
璜	749C
璣	74A3
璩	74A9
環	74B0
璦	74A6
璧	74A7
璽	74BD
瓊	74CA
瓏	74CF
瓜	74DC
瓠	74E0
瓢	74E2
瓣	74E3
瓦	74E6
瓶	74F6
瓷	74F7
甄	7504
甌	750C
甕	7515
甘	7518
甚	751A
甜	751C
生	751F
產	7522
甥	7525
甦	7526
用	7528
甩	7529
甬	752C
甫	752B
甭	752D
田	7530
由	7531
甲	7532
申	7533
男	7537
甸	7538
甽	753D
畏	754F
界	754C
畔	7554
畝	755D
畜	755C
畚	755A
留	7559
略	7565
畦	7566
畢	7562
異	7570
畫	756B
番	756A
當	7576
畸	7578
疇	7587
疆	7586
疊	758A
疋	758B
疏	758F
疑	7591
疝	759D
疙	7599
疚	759A
疫	75AB
疤	75A4
疥	75A5
疾	75BE
病	75C5
症	75C7
疲	75B2
疳	75B3
疽	75BD
疼	75BC
疹	75B9
痔	75D4
痕	75D5
疵	75B5
痢	75E2
痛	75DB
痣	75E3
痙	75D9
痘	75D8
痊	75CA
痞	75DE
瘀	7600
痰	75F0
瘁	7601
痲	75F2
痱	75F1
痺	75FA
痿	75FF
痴	75F4
瘧	7627
瘍	760D
瘋	760B
瘉	7609
瘓	7613
瘠	7620
瘩	7629
瘟	761F
瘤	7624
瘦	7626
瘡	7621
瘴	7634
瘸	7638
癆	7646
療	7642
癌	764C
癖	7656
癘	7658
癒	7652
癢	7662
癥	7665
癩	7669
癮	766E
癬	766C
癱	7671
癲	7672
癸	7678
登	767B
發	767C
白	767D
百	767E
皂	7682
的	7684
皆	7686
皇	7687
皈	7688
皎	768E
皖	7696
皓	7693
皚	769A
皮	76AE
皰	76B0
皴	76B4
皺	76BA
皿	76BF
盂	76C2
盈	76C8
盆	76C6
盃	76C3
益	76CA
盍	76CD
盎	76CE
盔	76D4
盒	76D2
盛	76DB
盜	76DC
盞	76DE
盟	76DF
盡	76E1
監	76E3
盤	76E4
盧	76E7
盥	76E5
盪	76EA
目	76EE
盯	76EF
盲	76F2
直	76F4
省	7701
盹	76F9
相	76F8
眉	7709
看	770B
盾	76FE
盼	76FC
眩	7729
真	771F
眠	7720
眨	7728
眷	7737
眾	773E
眼	773C
眶	7736
眸	7738
眺	773A
睏	774F
睛	775B
睫	776B
睦	7766
睞	775E
督	7763
睹	7779
睪	776A
睬	776C
睜	775C
睥	7765
睨	7768
瞄	7784
睽	777D
睿	777F
睡	7761
瞎	778E
瞇	7787
瞌	778C
瞑	7791
瞠	77A0
瞞	779E
瞟	779F
瞥	77A5
瞳	77B3
瞪	77AA
瞰	77B0
瞬	77AC
瞧	77A7
瞭	77AD
瞽	77BD
瞿	77BF
瞻	77BB
矇	77C7
矓	77D3
矗	77D7
矚	77DA
矛	77DB
矜	77DC
矢	77E2
矣	77E3
知	77E5
矩	77E9
短	77ED
矮	77EE
矯	77EF
石	77F3
矽	77FD
砂	7802
研	7814
砌	780C
砍	780D
砰	7830
砧	7827
砸	7838
砝	781D
破	7834
砷	7837
砥	7825
砭	782D
硫	786B
硃	7843
硝	785D
硬	786C
硯	786F
碎	788E
碰	78B0
碗	7897
碘	7898
碌	788C
碉	7889
硼	787C
碑	7891
磁	78C1
碟	789F
碧	78A7
碳	78B3
碩	78A9
磋	78CB
磅	78C5
確	78BA
磊	78CA
碾	78BE
磕	78D5
碼	78BC
磐	78D0
磨	78E8
磚	78DA
磬	78EC
磷	78F7
磺	78FA
磴	78F4
磯	78EF
礁	7901
礎	790E
礙	7919
礦	7926
礪	792A
礬	792C
礫	792B
示	793A
社	793E
祀	7940
祁	7941
祆	7946
祉	7949
祈	7948
祇	7947
祕	7955
祐	7950
祠	7960
祟	795F
祖	7956
神	795E
祝	795D
祗	7957
祚	795A
祥	7965
票	7968
祭	796D
祺	797A
祿	797F
禁	7981
禎	798E
福	798F
禍	798D
禦	79A6
禧	79A7
禪	79AA
禮	79AE
禱	79B1
禹	79B9
萬	842C
禽	79BD
禾	79BE
私	79C1
秀	79C0
禿	79BF
秉	79C9
科	79D1
秒	79D2
秋	79CB
秤	79E4
秣	79E3
秧	79E7
租	79DF
秦	79E6
秩	79E9
移	79FB
稍	7A0D
稈	7A08
程	7A0B
稅	7A05
稀	7A00
稜	7A1C
稚	7A1A
稠	7A20
稔	7A14
稟	7A1F
種	7A2E
稱	7A31
稿	7A3F
稼	7A3C
穀	7A40
稽	7A3D
稷	7A37
稻	7A3B
積	7A4D
穎	7A4E
穆	7A46
穌	7A4C
穗	7A57
穡	7A61
穢	7A62
穫	7A6B
穩	7A69
穴	7A74
究	7A76
空	7A7A
穹	7A79
穿	7A7F
突	7A81
窄	7A84
窈	7A88
窒	7A92
窕	7A95
窘	7A98
窗	7A97
窖	7A96
窟	7A9F
窠	7AA0
窪	7AAA
窩	7AA9
窯	7AAF
窮	7AAE
窺	7ABA
竄	7AC4
竅	7AC5
竇	7AC7
竊	7ACA
立	7ACB
站	7AD9
童	7AE5
竣	7AE3
竭	7AED
端	7AEF
競	7AF6
竹	7AF9
竺	7AFA
竿	7AFF
竽	7AFD
笆	7B06
笑	7B11
笠	7B20
笨	7B28
笛	7B1B
第	7B2C
符	7B26
笙	7B19
笞	7B1E
等	7B49
策	7B56
筆	7B46
筐	7B50
筒	7B52
答	7B54
筍	7B4D
筋	7B4B
筏	7B4F
筷	7B77
節	7BC0
筠	7B60
管	7BA1
箕	7B95
箋	7B8B
筵	7B75
算	7B97
箝	7B9D
箔	7B94
箏	7B8F
箭	7BAD
箱	7BB1
範	7BC4
箴	7BB4
篆	7BC6
篇	7BC7
篁	7BC1
篙	7BD9
簑	7C11
築	7BC9
篤	7BE4
篛	7BDB
篡	7BE1
篩	7BE9
簇	7C07
簍	7C0D
篾	7BFE
篷	7BF7
簫	7C2B
簧	7C27
簪	7C2A
簞	7C1E
簣	7C23
簡	7C21
簾	7C3E
簿	7C3F
簸	7C38
簽	7C3D
簷	7C37
籌	7C4C
籃	7C43
籍	7C4D
籐	7C50
籠	7C60
籟	7C5F
籤	7C64
籬	7C6C
籮	7C6E
籲	7C72
米	7C73
粉	7C89
粒	7C92
粗	7C97
粟	7C9F
粥	7CA5
粱	7CB1
粳	7CB3
粵	7CB5
粹	7CB9
粽	7CBD
精	7CBE
糊	7CCA
糕	7CD5
糖	7CD6
糠	7CE0
糜	7CDC
糞	7CDE
糢	7CE2
糟	7CDF
糙	7CD9
糧	7CE7
糯	7CEF
糸	7CF8
系	7CFB
糾	7CFE
紂	7D02
紅	7D05
紀	7D00
紉	7D09
紇	7D07
約	7D04
紡	7D21
紗	7D17
紋	7D0B
紊	7D0A
素	7D20
索	7D22
純	7D14
紐	7D10
紕	7D15
級	7D1A
紜	7D1C
納	7D0D
紙	7D19
紛	7D1B
絆	7D46
絃	7D43
統	7D71
紮	7D2E
紹	7D39
紼	7D3C
絀	7D40
細	7D30
紳	7D33
組	7D44
累	7D2F
終	7D42
絞	7D5E
結	7D50
絨	7D68
絕	7D55
紫	7D2B
絮	7D6E
絲	7D72
絡	7D61
給	7D66
絢	7D62
經	7D93
絹	7D79
綑	7D91
綁	7D81
綏	7D8F
綻	7DBB
綰	7DB0
綜	7D9C
綽	7DBD
綾	7DBE
綠	7DA0
緊	7DCA
綴	7DB4
網	7DB2
綱	7DB1
綺	7DBA
綢	7DA2
綿	7DBF
綵	7DB5
綸	7DB8
維	7DAD
緒	7DD2
緇	7DC7
締	7DE0
練	7DF4
緯	7DEF
緻	7DFB
緘	7DD8
緬	7DEC
緝	7DDD
編	7DE8
緣	7DE3
線	7DDA
緞	7DDE
緩	7DE9
綞	7D9E
縊	7E0A
縑	7E11
縈	7E08
縛	7E1B
縣	7E23
縮	7E2E
績	7E3E
繆	7E46
縷	7E37
縲	7E32
繃	7E43
縫	7E2B
總	7E3D
縱	7E31
繅	7E45
繁	7E41
織	7E54
繕	7E55
繞	7E5E
繚	7E5A
繡	7E61
繫	7E6B
繭	7E6D
繹	7E79
繩	7E69
繪	7E6A
辮	8FAE
繽	7E7D
繼	7E7C
纂	7E82
纏	7E8F
續	7E8C
纓	7E93
纖	7E96
纜	7E9C
缶	7F36
缸	7F38
缺	7F3A
缽	7F3D
罄	7F44
罈	7F48
罐	7F50
罕	7F55
罔	7F54
罟	7F5F
置	7F6E
罩	7F69
罪	7F6A
署	7F72
罰	7F70
罵	7F75
罷	7F77
罹	7F79
羅	7F85
羈	7F88
羊	7F8A
羌	7F8C
羋	7F8B
美	7F8E
羔	7F94
羞	7F9E
羚	7F9A
善	5584
義	7FA9
羨	7FA8
群	7FA4
羯	7FAF
羲	7FB2
羶	7FB6
羹	7FB9
羸	7FB8
羽	7FBD
羿	7FBF
翅	7FC5
翁	7FC1
翌	7FCC
翎	7FCE
習	7FD2
翔	7FD4
翕	7FD5
翠	7FE0
翡	7FE1
翟	7FDF
翩	7FE9
翰	7FF0
翱	7FF1
翳	7FF3
翼	7FFC
翹	7FF9
翻	7FFB
耀	8000
老	8001
考	8003
者	8005
耆	8006
而	800C
耐	8010
耍	800D
耒	8012
耘	8018
耕	8015
耙	8019
耗	8017
耜	801C
耳	8033
耶	8036
耽	803D
耿	803F
聊	804A
聆	8046
聖	8056
聘	8058
聞	805E
聚	805A
聱	8071
聲	8072
聰	8070
聯	806F
聳	8073
職	8077
聶	8076
聾	807E
聽	807D
聿	807F
肆	8086
肄	8084
肅	8085
肇	8087
肉	8089
肋	808B
肌	808C
肖	8096
肓	8093
肝	809D
肘	8098
肛	809B
肚	809A
育	80B2
肺	80BA
肥	80A5
肢	80A2
肱	80B1
股	80A1
肫	80AB
肩	80A9
肴	80B4
肪	80AA
肯	80AF
胖	80D6
胥	80E5
胚	80DA
胃	80C3
胄	80C4
背	80CC
胡	80E1
胛	80DB
胎	80CE
胞	80DE
胤	80E4
胱	80F1
脂	8102
胰	80F0
脅	8105
胭	80ED
胴	80F4
脆	8106
胸	80F8
胳	80F3
脈	8108
能	80FD
脊	810A
脯	812F
脖	8116
脣	8123
脫	812B
脩	8129
腕	8155
腔	8154
腋	814B
腑	8151
腎	814E
脹	8139
腆	8146
脾	813E
腐	8150
腱	8171
腰	8170
腸	8178
腥	8165
腮	816E
腳	8173
腫	816B
腹	8179
腺	817A
腦	8166
膀	8180
膏	818F
膈	8188
膊	818A
腿	817F
膛	819B
膜	819C
膝	819D
膠	81A0
膚	819A
膳	81B3
膩	81A9
膨	81A8
臆	81C6
臃	81C3
膺	81BA
臂	81C2
臀	81C0
膿	81BF
膽	81BD
臉	81C9
膾	81BE
臍	81CD
臏	81CF
臘	81D8
臚	81DA
臟	81DF
臣	81E3
臥	81E5
臧	81E7
臨	81E8
自	81EA
臭	81ED
臬	81EC
至	81F3
致	81F4
臺	81FA
臻	81FB
臼	81FC
臾	81FE
舀	8200
舂	8202
舅	8205
與	8207
興	8208
舉	8209
舊	820A
舌	820C
舍	820D
舐	8210
舒	8212
舔	8214
舛	821B
舜	821C
舞	821E
舟	821F
舢	8222
航	822A
舫	822B
舨	8228
般	822C
舵	8235
舷	8237
舶	8236
船	8239
艇	8247
艘	8258
艙	8259
艦	8266
艮	826E
良	826F
艱	8271
色	8272
艾	827E
芒	8292
芋	828B
芍	828D
芳	82B3
芝	829D
芙	8299
芭	82AD
芽	82BD
芟	829F
芹	82B9
花	82B1
芬	82AC
芥	82A5
芻	82BB
苧	82E7
范	8303
茅	8305
苣	82E3
苛	82DB
苦	82E6
茄	8304
若	82E5
茂	8302
茉	8309
苒	82D2
苗	82D7
英	82F1
茁	8301
苜	82DC
苔	82D4
苑	82D1
苞	82DE
苓	82D3
苟	82DF
茫	832B
荒	8352
荔	8354
荊	834A
茸	8338
荐	8350
草	8349
茵	8335
茴	8334
荏	834F
茲	8332
茹	8339
茶	8336
茗	8317
荀	8340
茱	8331
莎	838E
莞	839E
莘	8398
荸	8378
莢	83A2
莖	8396
莽	83BD
莫	83AB
莒	8392
莊	838A
莓	8393
莉	8389
莠	83A0
荷	8377
荻	837B
荼	837C
菩	83E9
萃	8403
菸	83F8
萍	840D
菠	83E0
菅	83C5
萋	840B
菁	83C1
華	83EF
菱	83F1
菴	83F4
著	8457
萊	840A
菰	83F0
萌	840C
菌	83CC
菽	83FD
菲	83F2
菊	83CA
萸	8438
萎	840E
萄	8404
菜	83DC
蒂	8482
葷	8477
落	843D
萱	8431
葵	8475
葦	8466
葫	846B
葉	8449
葬	846C
葛	845B
萼	843C
萵	8435
葡	8461
董	8463
葩	8469
蓉	84C9
蒿	84BF
蓆	84C6
蓄	84C4
蒙	8499
蒞	849E
蒲	84B2
蒜	849C
蓋	84CB
蒸	84B8
蓀	84C0
蓓	84D3
蒐	8490
蒼	84BC
蔗	8517
蔽	853D
蔚	851A
蓮	84EE
蔬	852C
蔭	852D
蔓	8513
蔑	8511
蔣	8523
蔡	8521
蔔	8514
蓬	84EC
蔥	8525
蓿	84FF
蕊	854A
蕙	8559
蕈	8548
蕨	8568
蕩	8569
蕃	8543
蕉	8549
蕭	856D
蕪	856A
薪	85AA
薄	8584
蕾	857E
薜	859C
薑	8591
薔	8594
薯	85AF
薛	859B
薇	8587
藏	85CF
薩	85A9
藍	85CD
藐	85D0
藉	85C9
薰	85B0
藩	85E9
藝	85DD
藪	85EA
藕	85D5
藤	85E4
藥	85E5
藻	85FB
藹	85F9
蘑	8611
藺	85FA
蘆	8606
蘋	860B
蘇	8607
蘊	860A
蘗	8617
蘭	862D
蘚	861A
蘸	8638
蘿	863F
虎	864E
虐	8650
虔	8654
處	8655
彪	5F6A
虛	865B
虞	865E
虜	865C
號	865F
虧	8667
虫	866B
虱	8671
虹	8679
蚊	868A
蚪	86AA
蚓	8693
蚤	86A4
蚩	86A9
蚌	868C
蚣	86A3
蛇	86C7
蛀	86C0
蚶	86B6
蛄	86C4
蚵	86B5
蛆	86C6
蛋	86CB
蚱	86B1
蚯	86AF
蛟	86DF
蛙	86D9
蛭	86ED
蛔	86D4
蛛	86DB
蛤	86E4
蛹	86F9
蜓	8713
蜈	8708
蜇	8707
蜀	8700
蛾	86FE
蛻	86FB
蜂	8702
蜃	8703
蜿	873F
蜜	871C
蜻	873B
蜢	8722
蜥	8725
蜴	8734
蜘	8718
蝕	8755
螂	8782
蝴	8774
蝶	8776
蝠	8760
蝦	8766
蝸	8778
蝨	8768
蝙	8759
蝗	8757
蝌	874C
螃	8783
螟	879F
螞	879E
螢	87A2
融	878D
蟀	87C0
蟑	87D1
螳	87B3
蟒	87D2
蟆	87C6
螫	87AB
螻	87BB
螺	87BA
蟈	87C8
蟋	87CB
蟯	87EF
蟬	87EC
蟲	87F2
蟻	87FB
蠅	8805
蠍	880D
蟹	87F9
蠔	8814
蠕	8815
蠣	8823
蠢	8822
蠡	8821
蠟	881F
蠱	8831
蠶	8836
蠹	8839
蠻	883B
血	8840
行	884C
衍	884D
術	8853
街	8857
衙	8859
衛	885B
衝	885D
衡	8861
衢	8862
衣	8863
初	521D
表	8868
衫	886B
衰	8870
衷	8877
袁	8881
袂	8882
袞	889E
袈	8888
被	88AB
袒	8892
袖	8896
袍	888D
袋	888B
裁	88C1
裂	88C2
袱	88B1
裟	88DF
裔	88D4
裙	88D9
補	88DC
裘	88D8
裝	88DD
裡	88E1
裊	88CA
裕	88D5
裳	88F3
褂	8902
裴	88F4
裹	88F9
裸	88F8
製	88FD
裨	88E8
褚	891A
褐	8910
複	8907
褒	8912
褓	8913
褪	892A
褲	8932
褥	8925
褫	892B
褻	893B
褶	8936
襄	8944
褸	8938
襠	8960
襟	895F
襖	8956
襤	8964
襪	896A
襲	8972
襯	896F
西	897F
要	8981
覃	8983
覆	8986
見	898B
覓	8993
規	898F
視	8996
親	89AA
覦	89A6
覬	89AC
覲	89B2
覺	89BA
覽	89BD
觀	89C0
角	89D2
解	89E3
觴	89F4
觸	89F8
言	8A00
計	8A08
訂	8A02
訃	8A03
記	8A18
訐	8A10
討	8A0E
訌	8A0C
訕	8A15
訊	8A0A
託	8A17
訓	8A13
訖	8A16
訪	8A2A
訝	8A1D
訣	8A23
訥	8A25
許	8A31
設	8A2D
訟	8A1F
訛	8A1B
註	8A3B
詠	8A60
評	8A55
詞	8A5E
証	8A3C
詁	8A41
詔	8A54
詛	8A5B
詐	8A50
詆	8A46
訴	8A34
診	8A3A
詫	8A6B
該	8A72
詳	8A73
試	8A66
詩	8A69
詰	8A70
誇	8A87
詼	8A7C
詣	8A63
誠	8AA0
話	8A71
誅	8A85
詭	8A6D
詢	8A62
詮	8A6E
詬	8A6C
詹	8A79
誦	8AA6
誌	8A8C
語	8A9E
誣	8AA3
認	8A8D
誡	8AA1
誓	8A93
誤	8AA4
說	8AAA
誥	8AA5
誨	8AA8
誘	8A98
誑	8A91
誼	8ABC
諒	8AD2
談	8AC7
諄	8AC4
誕	8A95
請	8ACB
諸	8AF8
課	8AB2
諉	8AC9
諂	8AC2
調	8ABF
誰	8AB0
論	8AD6
諍	8ACD
諦	8AE6
諺	8AFA
諫	8AEB
諱	8AF1
謀	8B00
諜	8ADC
諧	8AE7
諮	8AEE
諾	8AFE
謁	8B01
謂	8B02
諷	8AF7
諭	8AED
謎	8B0E
謗	8B17
謙	8B19
講	8B1B
謊	8B0A
謠	8B20
謝	8B1D
謄	8B04
謨	8B28
謹	8B39
謬	8B2C
譁	8B41
譜	8B5C
識	8B58
證	8B49
譚	8B5A
譎	8B4E
譏	8B4F
議	8B70
譬	8B6C
警	8B66
譯	8B6F
譴	8B74
護	8B77
譽	8B7D
讀	8B80
變	8B8A
讓	8B93
讒	8B92
讖	8B96
讚	8B9A
谷	8C37
豁	8C41
谿	8C3F
豆	8C46
豈	8C48
豉	8C49
豌	8C4C
豎	8C4E
豐	8C50
豔	8C54
豕	8C55
豚	8C5A
象	8C61
豢	8C62
豪	8C6A
豬	8C6C
豫	8C6B
豺	8C7A
豹	8C79
貂	8C82
貊	8C8A
貉	8C89
貍	8C8D
貌	8C8C
貓	8C93
貝	8C9D
貞	8C9E
負	8CA0
財	8CA1
貢	8CA2
販	8CA9
責	8CAC
貫	8CAB
貨	8CA8
貪	8CAA
貧	8CA7
貯	8CAF
貼	8CBC
貳	8CB3
賊	8CCA
資	8CC7
賈	8CC8
賄	8CC4
貲	8CB2
賃	8CC3
賂	8CC2
賓	8CD3
貽	8CBD
賅	8CC5
賁	8CC1
費	8CBB
賀	8CC0
貴	8CB4
買	8CB7
貶	8CB6
貿	8CBF
貸	8CB8
賑	8CD1
賒	8CD2
賠	8CE0
賞	8CDE
賦	8CE6
賤	8CE4
賬	8CEC
賭	8CED
賢	8CE2
賣	8CE3
賜	8CDC
質	8CEA
賴	8CF4
賺	8CFA
賽	8CFD
購	8CFC
贅	8D05
贈	8D08
贊	8D0A
贏	8D0F
贍	8D0D
贓	8D13
贖	8D16
贗	8D17
贛	8D1B
赤	8D64
赧	8D67
赦	8D66
赫	8D6B
赭	8D6D
走	8D70
赴	8D74
赳	8D73
起	8D77
越	8D8A
超	8D85
趁	8D81
趙	8D99
趕	8D95
趟	8D9F
趣	8DA3
趨	8DA8
足	8DB3
趴	8DB4
趾	8DBE
跎	8DCE
距	8DDD
跋	8DCB
跚	8DDA
跑	8DD1
跌	8DCC
跛	8DDB
跆	8DC6
跡	8DE1
跟	8DDF
跨	8DE8
路	8DEF
跳	8DF3
跺	8DFA
跪	8DEA
跼	8DFC
踫	8E2B
踐	8E10
踝	8E1D
踢	8E22
踏	8E0F
踩	8E29
踟	8E1F
蹄	8E44
踱	8E31
踴	8E34
蹂	8E42
踹	8E39
踵	8E35
蹉	8E49
蹋	8E4B
蹈	8E48
蹊	8E4A
蹙	8E59
蹣	8E63
蹦	8E66
蹤	8E64
蹼	8E7C
蹲	8E72
躇	8E87
蹶	8E76
蹬	8E6C
蹺	8E7A
躉	8E89
躁	8E81
躅	8E85
躂	8E82
躊	8E8A
躍	8E8D
躑	8E91
躡	8EA1
躪	8EAA
身	8EAB
躬	8EAC
躲	8EB2
躺	8EBA
軀	8EC0
車	8ECA
軋	8ECB
軍	8ECD
軌	8ECC
軒	8ED2
軔	8ED4
軛	8EDB
軟	8EDF
軻	8EFB
軸	8EF8
軼	8EFC
較	8F03
載	8F09
軾	8EFE
輊	8F0A
輔	8F14
輒	8F12
輕	8F15
輓	8F13
輝	8F1D
輛	8F1B
輟	8F1F
輩	8F29
輦	8F26
輪	8F2A
輜	8F1C
輻	8F3B
輯	8F2F
輸	8F38
轄	8F44
輾	8F3E
轂	8F42
轅	8F45
輿	8F3F
轉	8F49
轍	8F4D
轔	8F54
轎	8F4E
轟	8F5F
轡	8F61
辛	8F9B
辜	8F9C
辟	8F9F
辣	8FA3
辨	8FA8
辦	8FA6
辭	8FAD
辯	8FAF
辰	8FB0
辱	8FB1
農	8FB2
迂	8FC2
迆	8FC6
迅	8FC5
迄	8FC4
巡	5DE1
迎	8FCE
返	8FD4
近	8FD1
述	8FF0
迦	8FE6
迢	8FE2
迪	8FEA
迥	8FE5
迭	8FED
迫	8FEB
送	9001
逆	9006
迷	8FF7
退	9000
迺	8FFA
迴	8FF4
逃	9003
追	8FFD
逅	9005
這	9019
逍	900D
通	901A
逗	9017
