#Char	Unicode	Big5
佯	4F6F	A8CB
佰	4F70	A8D5
佳	4F73	A8CE
併	4F75	A8D6
佺	4F7A	A8DE
佻	4F7B	A8D9
佾	4F7E	A8DB
使	4F7F	A8CF
侃	4F83	A8D4
來	4F86	A8D3
侈	4F88	A8D7
例	4F8B	A8D2
侍	4F8D	A8CD
侏	4F8F	A8DC
侑	4F91	A8DD
侖	4F96	A8DA
供	4F9B	A8D1
依	4F9D	A8CC
侮	4FAE	AB56
侯	4FAF	AB4A
侵	4FB5	AB49
侶	4FB6	AB51
侷	4FB7	AB5D
便	4FBF	AB4B
係	4FC2	AB59
促	4FC3	AB50
俄	4FC4	AB58
俊	4FCA	AB54
俎	4FCE	AB5B
俏	4FCF	AB4E
俐	4FD0	AB57
俑	4FD1	AB4D
俗	4FD7	AB55
俘	4FD8	AB52
俚	4FDA	AB5A
保	4FDD	AB4F
俞	4FDE	AB5C
俟	4FDF	AB53
俠	4FE0	AB4C
信	4FE1	AB48
修	4FEE	ADD7
俯	4FEF	ADC1
俱	4FF1	ADD1
俳	4FF3	ADD6
俸	4FF8	ADC4
俺	4FFA	ADCD
俾	4FFE	ADDA
倀	5000	ADCE
倆	5006	ADC7
倉	5009	ADDC
個	500B	ADD3
倌	500C	ADBE
倍	500D	ADBF
倏	500F	B0BF
們	5011	ADCC
倒	5012	ADCB
倔	5014	ADCF
倖	5016	ADC6
倘	5018	ADD5
候	5019	ADD4
倚	501A	ADCA
借	501F	ADC9
倡	5021	ADD2
倣	5023	ADC0
倥	5025	ADC3
倦	5026	ADC2
倨	5028	ADD0
倩	5029	ADC5
倪	502A	ADD9
倫	502B	ADDB
倭	502D	ADD8
值	503C	ADC8
偃	5043	B0B3
假	5047	B0B2
偉	5049	B0B6
偌	504C	B0B4
偎	504E	B0B9
偏	504F	B0BE
偕	5055	B0BA
做	505A	B0B5
停	505C	B0B1
健	5065	B0B7
偭	506D	B0C1
偯	506F	B0C0
側	5074	B0BC
偵	5075	B0BB
偶	5076	B0B8
偷	5077	B0BD
偺	507A	B0AF
偽	507D	B0B0
傀	5080	B3C8
傅	5085	B3C5
傍	508D	B3C4
傑	5091	B3C7
傖	5096	B3C9
傘	5098	B3CA
備	5099	B3C6
傚	509A	B3CB
傢	50A2	B3C3
催	50AC	B6CA
傭	50AD	B6C4
傯	50AF	B6CD
傲	50B2	B6C6
傳	50B3	B6C7
債	50B5	B6C5
傷	50B7	B6CB
傻	50BB	B6CC
傾	50BE	B6C9
僅	50C5	B6C8
僇	50C7	B6CE
僎	50CE	B9B6
像	50CF	B9B3
僑	50D1	B9B4
僕	50D5	B9B2
僖	50D6	B9AF
僚	50DA	B9B1
僥	50E5	B9AE
僧	50E7	B9AC
僩	50E9	B9B7
僭	50ED	B9B0
僮	50EE	B9AD
僱	50F1	B9B5
僵	50F5	BBF8
價	50F9	BBF9
僻	50FB	BBF7
儀	5100	BBF6
儂	5102	BBFA
億	5104	BBF5
儅	5105	BBFD
儈	5108	BBFB
儉	5109	BBFC
儐	5110	BEAA
儒	5112	BEA7
儔	5114	BEA9
儕	5115	BEAB
儘	5118	BEA8
償	511F	C076
儡	5121	C077
優	512A	C075
儲	5132	C078
儳	5133	C35F
儷	5137	C4D7
儸	5138	C4D8
儻	513B	C56C
儼	513C	C56B
儿	513F	A449
兀	5140	A461
允	5141	A4B9
元	5143	A4B8
兄	5144	A553
充	5145	A552
兆	5146	A5FC
兇	5147	A5FB
先	5148	A5FD
光	5149	A5FA
克	514B	A74A
兌	514C	A749
免	514D	A74B
兒	5152	A8E0
兔	5154	A8DF
兕	5155	A8E1
兗	5157	AB5E
兜	515C	B0C2
兢	5162	B9B8
入	5165	A44A
內	5167	A4BA
全	5168	A5FE
兩	5169	A8E2
八	516B	A44B
公	516C	A4BD
六	516D	A4BB
兮	516E	A4BC
共	5171	A640
兵	5175	A74C
其	5176	A8E4
具	5177	A8E3
典	5178	A8E5
兼	517C	ADDD
冀	5180	BEAC
冉	5189	A554
冊	518A	A555
再	518D	A641
冑	5191	AB60
冒	5192	AB5F
冕	5195	B0C3
冗	5197	A4BE
冠	51A0	AB61
冢	51A2	ADE0
冤	51A4	ADDE
冥	51A5	ADDF
冪	51AA	BEAD
冬	51AC	A556
冰	51B0	A642
冶	51B6	A74D
冷	51B7	A74E
冽	51BD	A8E6
准	51C6	ADE3
凋	51CB	ADE4
凌	51CC	ADE2
凍	51CD	ADE1
凜	51DC	BBFE
凝	51DD	BEAE
几	51E0	A44C
凡	51E1	A45A
凰	51F0	B0C4
凱	51F1	B3CD
凳	51F3	B9B9
凶	51F6	A4BF
凸	51F8	A559
凹	51F9	A557
出	51FA	A558
函	51FD	A8E7
刀	5200	A44D
刁	5201	A44E
刃	5203	A462
分	5206	A4C0
切	5207	A4C1
刈	5208	A4C2
刊	520A	A55A
刎	520E	A646
刑	5211	A644
划	5212	A645
刖	5216	A647
列	5217	A643
初	521D	AAEC
判	5224	A750
別	5225	A74F
刨	5228	A753
利	5229	A751
刪	522A	A752
刮	522E	A8ED
到	5230	A8EC
制	5236	A8EE
刷	5237	A8EA
券	5238	A8E9
刺	523A	A8EB
刻	523B	A8E8
剁	5241	A8EF
剃	5243	AB63
則	5247	AB68
削	524A	AB64
剋	524B	AB67
剌	524C	AB66
前	524D	AB65
剎	524E	AB62
剔	5254	ADE7
剖	5256	ADE5
剛	525B	ADE8
剜	525C	ADE6
剝	525D	ADE9
剩	5269	B3D1
剪	526A	B0C5
副	526F	B0C6
割	5272	B3CE
剴	5274	B3CF
創	5275	B3D0
剷	5277	B6D0
剽	527D	B6D1
剿	527F	B6CF
劂	5282	B9BB
劃	5283	B9BA
劇	5287	BC40
劈	5288	BC41
劉	5289	BC42
劊	528A	BC44
劍	528D	BC43
劑	5291	BEAF
劓	5293	BEB0
力	529B	A44F
功	529F	A55C
加	52A0	A55B
劣	52A3	A648
助	52A9	A755
努	52AA	A756
劫	52AB	A754
劬	52AC	A757
劻	52BB	A8F1
劾	52BE	A8F0
勁	52C1	AB6C
勃	52C3	AB6B
勇	52C7	AB69
勉	52C9	AB6A
勒	52D2	B0C7
動	52D5	B0CA
勗	52D7	B1E5
勘	52D8	B0C9
務	52D9	B0C8
勛	52DB	B3D4
勝	52DD	B3D3
勞	52DE	B3D2
募	52DF	B6D2
勢	52E2	B6D5
勣	52E3	B6D6
勤	52E4	B6D4
勦	52E6	B6D3
勰	52F0	BC45
勳	52F3	BEB1
勵	52F5	C079
勸	52F8	C455
勺	52FA	A463
勻	52FB	A4C3
勾	52FE	A4C4
勿	52FF	A4C5
包	5305	A55D
匆	5306	A55E
匈	5308	A649
匍	530D	AB6D
匏	530F	B0CC
匐	5310	B0CB
匕	5315	A450
化	5316	A4C6
北	5317	A55F
匙	5319	B0CD
匝	531D	A560
匠	5320	A64B
匡	5321	A64A
匣	5323	A758
匪	532A	ADEA
匯	532F	B6D7
匱	5331	B9BC
匹	5339	A4C7
匾	533E	B0D0
匿	533F	B0CE
區	5340	B0CF
十	5341	A451
千	5343	A464
卅	5345	A4CA
升	5347	A4C9
午	5348	A4C8
卉	5349	A563
半	534A	A562
卑	5351	A8F5
卒	5352	A8F2
卓	5353	A8F4
協	5354	A8F3
南	5357	AB6E
博	535A	B3D5
卜	535C	A452
卞	535E	A4CB
占	5360	A565
卡	5361	A564
卦	5366	A8F6
卮	536E	A567
卯	536F	A566
印	5370	A64C
危	5371	A64D
即	5373	A759
卵	5375	A75A
卷	5377	A8F7
卸	5378	A8F8
卹	5379	A8F9
卻	537B	AB6F
卿	537F	ADEB
厄	5384	A4CC
厚	539A	AB70
厝	539D	ADED
原	539F	ADEC
厥	53A5	B3D6
厭	53AD	B9BD
厲	53B2	BC46
去	53BB	A568
參	53C3	B0D1
又	53C8	A453
叉	53C9	A465
及	53CA	A4CE
友	53CB	A4CD
反	53CD	A4CF
叔	53D4	A8FB
取	53D6	A8FA
受	53D7	A8FC
叛	53DB	AB71
叟	53DF	ADEE
叢	53E2	C24F
口	53E3	A466
古	53E4	A56A
句	53E5	A579
另	53E6	A574
叨	53E8	A56F
叩	53E9	A56E
只	53EA	A575
叫	53EB	A573
召	53EC	A56C
叭	53ED	A57A
叮	53EE	A56D
可	53EF	A569
台	53F0	A578
叱	53F1	A577
史	53F2	A576
右	53F3	A56B
叵	53F5	A572
司	53F8	A571
叻	53FB	A57B
叼	53FC	A570
吁	5401	A653
吃	5403	A659
各	5404	A655
吆	5406	A65B
合	5408	A658
吉	5409	A64E
吊	540A	A651
吋	540B	A654
同	540C	A650
名	540D	A657
后	540E	A65A
吏	540F	A64F
吐	5410	A652
向	5411	A656
吒	5412	A65C
君	541B	A767
吝	541D	A75B
吞	541E	A75D
吟	541F	A775
吠	5420	A770
否	5426	A75F
吧	5427	A761
吩	5429	A768
含	542B	A774
听	542C	A776
吭	542D	A75C
吮	542E	A76D
吱	5431	A773
吳	5433	A764
吵	5435	A76E
吶	5436	A76F
吸	5438	A76C
吹	5439	A76A
吻	543B	A76B
吼	543C	A771
吾	543E	A75E
呀	5440	A772
呂	5442	A766
呃	5443	A763
呆	5446	A762
呈	5448	A765
告	544A	A769
呎	544E	A760
呢	5462	A94F
周	5468	A950
呱	5471	A94B
味	5473	A8FD
呵	5475	A8FE
呶	5476	A94C
呷	5477	A945
呸	5478	A941
呻	547B	A944
呼	547C	A949
命	547D	A952
咀	5480	A943
咄	5484	A946
咆	5486	A948
咋	548B	A951
和	548C	A94D
咎	548E	A953
咐	5490	A94A
咒	5492	A947
咕	5495	A942
咖	5496	A940
咚	549A	A94E
咦	54A6	AB78
咧	54A7	ABA8
咨	54A8	AB74
咩	54A9	ABA7
咪	54AA	AB7D
咫	54AB	ABA4
咬	54AC	AB72
咯	54AF	ABA3
咱	54B1	ABA5
咳	54B3	AB79
咸	54B8	AB77
咻	54BB	ABA6
咽	54BD	AB7C
咿	54BF	ABA9
哀	54C0	AB73
品	54C1	AB7E
哂	54C2	AB7B
哄	54C4	ABA1
哇	54C7	AB7A
哈	54C8	ABA2
哉	54C9	AB76
哎	54CE	AB75
員	54E1	ADFB
哥	54E5	ADF4
哦	54E6	AE40
哨	54E8	ADEF
哩	54E9	ADF9
哪	54EA	ADFE
哭	54ED	ADFA
哮	54EE	ADFD
哲	54F2	ADF5
哺	54FA	ADF7
哼	54FC	ADF3
哽	54FD	AE43
唁	5501	ADF1
唆	5506	ADF6
唇	5507	AE42
唉	5509	ADFC
唏	550F	AE44
唐	5510	ADF0
唔	5514	ADF8
唧	5527	AE41
唬	552C	B0E4
售	552E	B0E2
唯	552F	B0DF
唱	5531	B0DB
唳	5533	B0E6
唷	5537	ADF2
唸	5538	B0E1
唾	553E	B3E8
啁	5541	B0E7
啃	5543	B0D9
啄	5544	B0D6
商	5546	B0D3
啊	554A	B0DA
問	554F	B0DD
啕	5555	B0DE
啖	5556	B0DC
啗	5557	B0E8
啜	555C	B0E3
啞	555E	B0D7
啟	555F	B1D2
啡	5561	B0D8
啣	5563	B0E5
啤	5564	B0E0
啦	5566	B0D5
啪	556A	B0D4
啻	557B	B3D7
啼	557C	B3DA
啾	557E	B3EE
喀	5580	B3D8
喂	5582	B3DE
喃	5583	B3E4
善	5584	B5BD
喇	5587	B3E2
喉	5589	B3EF
喊	558A	B3DB
喋	558B	B3E3
喔	5594	B3E1
喘	5598	B3DD
喙	5599	B3F1
喚	559A	B3EA
喜	559C	B3DF
喝	559D	B3DC
喟	559F	B3E7
喧	55A7	B3D9
喪	55AA	B3E0
喫	55AB	B3F0
喬	55AC	B3EC
單	55AE	B3E6
喱	55B1	B3ED
喲	55B2	B3E9
喳	55B3	B3E5
喻	55BB	B3EB
嗅	55C5	B6E5
嗆	55C6	B6E6
嗇	55C7	B6DE
嗉	55C9	B6E8
嗎	55CE	B6DC
嗑	55D1	B6DF
嗓	55D3	B6DA
嗚	55DA	B6E3
嗜	55DC	B6DD
嗟	55DF	B6D8
嗡	55E1	B6E4
嗣	55E3	B6E0
嗤	55E4	B6E1
嗥	55E5	B6E7
嗦	55E6	B6DB
嗨	55E8	B6D9
嗯	55EF	B6E2
嗶	55F6	B9CD
嗷	55F7	B9C8
嗽	55FD	B9C2
嗾	55FE	B9BE
嘀	5600	B9BF
嘆	5606	B9C4
嘈	5608	B9CB
嘉	5609	B9C5
嘍	560D	B9C6
嘎	560E	B9C7
嘐	5610	B9CC
嘔	5614	B9C3
嘖	5616	B9C9
嘗	5617	B9C1
嘛	561B	B9C0
嘟	561F	B9CA
嘩	5629	BC4D
嘮	562E	BC47
嘯	562F	BC53
嘰	5630	BC54
嘲	5632	BC4A
嘴	5634	BC4C
嘶	5636	BC52
嘹	5639	BC49
嘻	563B	BC48
嘿	563F	BC4B
噎	564E	BC4F
噓	5653	BC4E
噗	5657	BC50
噙	5659	BEB2
噢	5662	BEBE
噤	5664	BEB6
噥	5665	BEBA
器	5668	BEB9
噩	5669	BEB5
噪	566A	BEB8
噫	566B	BEB3
噬	566C	BEBD
噯	566F	BEBC
噱	5671	BEBB
噴	5674	BC51
噶	5676	BEBF
噸	5678	BEB7
噹	5679	BEB4
嚀	5680	C07B
嚅	5685	C07D
嚇	5687	C07E
嚎	568E	C07A
嚏	568F	C0A1
嚐	5690	C07C
嚕	5695	C250
嚥	56A5	C360
嚨	56A8	C456
嚮	56AE	C251
嚴	56B4	C459
嚶	56B6	C458
嚷	56B7	C457
嚼	56BC	C45A
囀	56C0	C4DA
囁	56C1	C4D9
囂	56C2	C4DB
囈	56C8	C56D
囉	56C9	C56F
囊	56CA	C56E
囌	56CC	C5C8
囑	56D1	C5F1
囚	56DA	A57D
四	56DB	A57C
囝	56DD	A65F
回	56DE	A65E
因	56E0	A65D
囤	56E4	A779
囪	56EA	A777
囫	56EB	A77A
困	56F0	A778
固	56FA	A954
囿	56FF	ABAA
圃	5703	AE45
圄	5704	AE46
圈	5708	B0E9
圉	5709	B0EB
國	570B	B0EA
圍	570D	B3F2
園	5712	B6E9
圓	5713	B6EA
圖	5716	B9CF
團	5718	B9CE
土	571F	A467
在	5728	A662
圩	5729	A666
圬	572C	A664
圭	572D	A663
圯	572F	A665
地	5730	A661
圳	5733	A660
圻	573B	A7A6
圾	573E	A7A3
址	5740	A77D
均	5747	A7A1
坊	574A	A77B
坍	574D	A77E
坎	574E	A7A2
坏	574F	A7A5
坐	5750	A7A4
坑	5751	A77C
坡	5761	A959
坤	5764	A95B
坦	5766	A95A
坩	5769	A958
坪	576A	A957
坷	5777	A956
坼	577C	A95C
垂	5782	ABAB
垃	5783	A955
型	578B	ABAC
垓	5793	ABB2
垠	57A0	ABAD
垢	57A2	ABAF
垣	57A3	ABAE
垮	57AE	ABB1
埂	57C2	AE47
埃	57C3	AE4A
埋	57CB	AE49
城	57CE	ABB0
埔	57D4	AE48
域	57DF	B0EC
埠	57E0	B0F0
埤	57E4	B0F1
執	57F7	B0F5
培	57F9	B0F6
基	57FA	B0F2
堂	5802	B0F3
堅	5805	B0ED
堆	5806	B0EF
堉	5809	AE4B
堊	580A	B0EE
堝	581D	B3FA
堠	5820	B3FB
堡	5821	B3F9
堤	5824	B3F6
堪	582A	B3F4
堯	582F	B3F3
堰	5830	B3F7
報	5831	B3F8
場	5834	B3F5
堵	5835	B0F4
塊	584A	B6F4
塋	584B	B6F7
塌	584C	B6F2
塑	5851	B6EC
塒	5852	B6F6
塔	5854	B6F0
塗	5857	B6EE
塘	5858	B6ED
塚	585A	B6EF
塞	585E	B6EB
塢	5862	B6F5
填	586B	B6F1
塭	586D	B6F3
塵	5875	B9D0
塹	5879	B9D5
塽	587D	B9D7
塾	587E	B9D1
墀	5880	BC55
境	5883	B9D2
墅	5885	B9D6
墊	588A	B9D4
墓	5893	B9D3
墜	589C	BC59
增	589E	BC57
墟	589F	BC56
墦	58A6	BC5C
墨	58A8	BEA5
墩	58A9	BC5B
墮	58AE	BC5A
墳	58B3	BC58
墾	58BE	BEC1
壁	58C1	BEC0
壅	58C5	BEC3
壇	58C7	BEC2
壎	58CE	C0A5
壑	58D1	C0A4
壓	58D3	C0A3
壕	58D5	C0A2
壘	58D8	C253
壙	58D9	C252
壞	58DE	C361
壟	58DF	C362
壢	58E2	C363
壤	58E4	C45B
壩	58E9	C5F2
士	58EB	A468
壬	58EC	A4D0
壯	58EF	A7A7
壹	58F9	B3FC
壺	58FA	B3FD
壽	58FD	B9D8
夏	590F	AE4C
夔	5914	C4DC
夕	5915	A469
外	5916	A57E
夙	5919	A667
多	591A	A668
夜	591C	A95D
夠	5920	B0F7
夢	5922	B9DA
夤	5924	B9DB
夥	5925	B9D9
大	5927	A46A
天	5929	A4D1
太	592A	A4D3
夫	592B	A4D2
夭	592D	A4D4
央	592E	A5A1
失	5931	A5A2
夷	5937	A669
夸	5938	A66A
夾	593E	A7A8
奄	5944	A961
奇	5947	A95F
奈	5948	A960
奉	5949	A95E
奎	594E	ABB6
奏	594F	ABB5
奐	5950	ABB7
契	5951	ABB4
奔	5954	A962
奕	5955	ABB3
套	5957	AE4D
奘	5958	AE4E
奚	595A	AE4F
奠	5960	B3FE
奢	5962	B0F8
奧	5967	B6F8
奩	5969	B9DD
奪	596A	B9DC
奭	596D	BC5D
奮	596E	BEC4
女	5973	A46B
奴	5974	A5A3
奶	5976	A5A4
奸	5978	A66C
她	5979	A66F
好	597D	A66E
妁	5981	A671
如	5982	A670
妃	5983	A66D
妄	5984	A66B
妊	598A	A7B3
妍	598D	A7B0
妒	5992	A7AA
妓	5993	A7B2
妖	5996	A7AF
妙	5999	A7AE
妝	599D	A7A9
妞	599E	A7AC
妣	59A3	A7AD
妤	59A4	A7B1
妥	59A5	A7B4
妨	59A8	A7AB
妮	59AE	A967
妯	59AF	A96F
妳	59B3	A970
妹	59B9	A966
妻	59BB	A964
妾	59BE	A963
姅	59C5	A972
姆	59C6	A969
姊	59CA	A96E
始	59CB	A96C
姍	59CD	A96B
姐	59D0	A96A
姑	59D1	A968
姒	59D2	A971
姓	59D3	A96D
委	59D4	A965
姘	59D8	ABB9
姚	59DA	ABC0
姜	59DC	ABB8
姣	59E3	ABBB
姥	59E5	ABBE
姦	59E6	ABC1
姨	59E8	ABBC
姪	59EA	ABBF
姬	59EC	AE56
姻	59FB	ABC3
姿	59FF	ABBA
威	5A01	ABC2
娃	5A03	ABBD
娉	5A09	AE5C
娌	5A0C	AE5B
娑	5A11	AE50
娓	5A13	AE55
娘	5A18	AE51
娛	5A1B	AE54
娜	5A1C	AE52
娟	5A1F	AE53
娠	5A20	AE57
娣	5A23	AE58
娥	5A25	AE5A
娩	5A29	AE59
娶	5A36	B0F9
娼	5A3C	B140
婀	5A40	B0FE
婁	5A41	B0FA
婆	5A46	B143
婉	5A49	B0FB
婊	5A4A	B144
婚	5A5A	B142
婢	5A62	B141
婦	5A66	B0FC
婪	5A6A	B0FD
婷	5A77	B440
婿	5A7F	B442
媒	5A92	B443
媚	5A9A	B441
媛	5A9B	B444
媧	5AA7	B445
媲	5AB2	B742
媳	5AB3	B740
媼	5ABC	B6FE
媽	5ABD	B6FD
媾	5ABE	B6FC
嫁	5AC1	B6F9
嫂	5AC2	B741
嫉	5AC9	B6FA
嫌	5ACC	B6FB
嫖	5AD6	B9E2
嫗	5AD7	B9E1
嫘	5AD8	B9E3
嫡	5AE1	B9DE
嫣	5AE3	B9E4
嫦	5AE6	B9DF
嫩	5AE9	B9E0
嫵	5AF5	BC61
嫻	5AFB	BC5F
嬈	5B08	BC63
嬉	5B09	BC5E
嬋	5B0B	BC60
嬌	5B0C	BC62
嬝	5B1D	BEC5
嬤	5B24	C0A8
嬪	5B2A	C0A7
嬰	5B30	C0A6
嬴	5B34	BEC6
嬸	5B38	C254
孀	5B40	C45C
孃	5B43	C45D
子	5B50	A46C
孑	5B51	A46D
孓	5B53	A46E
孔	5B54	A4D5
孕	5B55	A5A5
字	5B57	A672
存	5B58	A673
孚	5B5A	A7B7
孛	5B5B	A7B8
孜	5B5C	A7B6
孝	5B5D	A7B5
孟	5B5F	A973
季	5B63	A975
孤	5B64	A974
孩	5B69	ABC4
孫	5B6B	AE5D
孰	5B70	B145
孱	5B71	B447
孳	5B73	B446
孵	5B75	B9E5
學	5B78	BEC7
孺	5B7A	C0A9
孽	5B7D	C45E
孿	5B7F	C570
它	5B83	A5A6
宅	5B85	A676
宇	5B87	A674
守	5B88	A675
安	5B89	A677
宋	5B8B	A7BA
完	5B8C	A7B9
宏	5B8F	A7BB
宗	5B97	A976
官	5B98	A978
宙	5B99	A97A
定	5B9A	A977
宛	5B9B	A97B
宜	5B9C	A979
客	5BA2	ABC8
宣	5BA3	ABC5
室	5BA4	ABC7
宥	5BA5	ABC9
宦	5BA6	ABC6
宮	5BAE	AE63
宰	5BB0	AE5F
害	5BB3	AE60
宴	5BB4	AE62
宵	5BB5	AE64
家	5BB6	AE61
宸	5BB8	AE66
容	5BB9	AE65
宿	5BBF	B14A
寂	5BC2	B149
寄	5BC4	B148
寅	5BC5	B147
密	5BC6	B14B
寇	5BC7	B146
富	5BCC	B449
寐	5BD0	B44B
寒	5BD2	B448
寓	5BD3	B44A
寞	5BDE	B9E6
察	5BDF	B9EE
寡	5BE1	B9E8
寢	5BE2	B9EC
寤	5BE4	B9ED
寥	5BE5	B9E9
實	5BE6	B9EA
寧	5BE7	B9E7
寨	5BE8	B9EB
審	5BE9	BC66
寫	5BEB	BC67
寬	5BEC	BC65
寮	5BEE	BC64
寰	5BF0	BEC8
寵	5BF5	C364
寶	5BF6	C45F
寸	5BF8	A46F
寺	5BFA	A678
封	5C01	ABCA
射	5C04	AE67
將	5C07	B14E
專	5C08	B14D
尉	5C09	B14C
尊	5C0A	B44C
尋	5C0B	B44D
對	5C0D	B9EF
導	5C0E	BEC9
小	5C0F	A470
少	5C11	A4D6
尖	5C16	A679
尚	5C1A	A97C
尢	5C22	A471
尤	5C24	A4D7
尬	5C2C	A7BC
就	5C31	B44E
尷	5C37	C0AA
尸	5C38	A472
尹	5C39	A4A8
尺	5C3A	A4D8
尼	5C3C	A5A7
尾	5C3E	A7C0
尿	5C3F	A7BF
局	5C40	A7BD
屁	5C41	A7BE
居	5C45	A97E
屆	5C46	A9A1
屈	5C48	A97D
屋	5C4B	ABCE
屍	5C4D	ABCD
屎	5C4E	ABCB
屏	5C4F	ABCC
屐	5C50	AE6A
屑	5C51	AE68
展	5C55	AE69
屘	5C58	AE5E
屜	5C5C	B150
屝	5C5D	B151
屠	5C60	B14F
屢	5C62	B9F0
層	5C64	BC68
履	5C65	BC69
屨	5C68	C0AB
屬	5C6C	C4DD
屯	5C6F	A4D9
山	5C71	A473
屹	5C79	A67A
岌	5C8C	A7C4
岐	5C90	A7C1
岑	5C91	A7C2
岔	5C94	A7C3
岡	5CA1	A9A3
岩	5CA9	A9A5
岫	5CAB	A9A6
岱	5CB1	A9A7
岳	5CB3	A9A8
岷	5CB7	A9A2
岸	5CB8	A9A4
峒	5CD2	ABD0
峙	5CD9	ABCF
峨	5CE8	AE6F
峪	5CEA	AE6E
峭	5CED	AE6B
峰	5CF0	AE70
峴	5CF4	AE73
島	5CF6	AE71
峻	5CFB	AE6D
峽	5CFD	AE6C
崁	5D01	AE72
崆	5D06	B153
崇	5D07	B152
崎	5D0E	B154
崑	5D11	B158
崔	5D14	B15A
崖	5D16	B156
崗	5D17	B15E
崙	5D19	B15B
崛	5D1B	B155
崢	5D22	B157
崤	5D24	B15C
崧	5D27	B15D
崩	5D29	B159
崴	5D34	B451
嵇	5D47	B452
嵌	5D4C	B44F
嵐	5D50	B450
嵩	5D69	B743
嵯	5D6F	B744
嶄	5D84	B9F1
嶇	5D87	B9F2
嶔	5D94	BC6B
嶝	5D9D	BC6A
嶸	5DB8	C0AF
嶺	5DBA	C0AD
嶼	5DBC	C0AC
嶽	5DBD	C0AE
巉	5DC9	C460
巍	5DCD	C4DE
巒	5DD2	C572
巔	5DD4	C571
巖	5DD6	C5C9
川	5DDD	A474
州	5DDE	A67B
巡	5DE1	A8B5
巢	5DE2	B15F
工	5DE5	A475
左	5DE6	A5AA
巧	5DE7	A5A9
巨	5DE8	A5A8
巫	5DEB	A7C5
差	5DEE	AE74
己	5DF1	A476
已	5DF2	A477
巳	5DF3	A478
巴	5DF4	A4DA
巷	5DF7	ABD1
巽	5DFD	B453
巾	5DFE	A479
市	5E02	A5AB
布	5E03	A5AC
帆	5E06	A67C
希	5E0C	A7C6
帑	5E11	A9AE
帕	5E15	A9AC
帖	5E16	A9AB
帘	5E18	A9A9
帚	5E1A	A9AA
帛	5E1B	A9AD
帝	5E1D	ABD2
帟	5E1F	ABD4
帥	5E25	ABD3
